source,target,reward,penalty
n12,n3,3,6
n5,n4,8,8
n2,n16,2,1
n16,n12,10,3
n14,n5,0,4
n2,n17,5,1
n13,n5,4,8
n4,n11,3,5
n18,n0,1,7
n4,n8,6,4
n17,n6,7,8
n19,n5,0,9
n12,n11,10,9
n15,n12,6,6
n5,n10,6,0
n3,n17,10,4
n9,n14,2,6
n17,n5,10,8
n2,n6,6,4
n5,n7,6,2
n9,n6,10,10
n16,n3,9,1
n17,n10,9,1
n11,n10,8,6
n9,n16,8,3
n16,n17,7,1
n10,n14,6,9
n11,n2,10,8
n7,n10,3,7
n16,n9,4,0
n10,n15,9,2
n12,n0,6,4
n5,n16,2,9
n9,n4,2,9
n13,n14,10,10
n6,n8,1,1
n3,n0,0,0
n9,n18,8,4
n9,n17,3,3
n0,n2,5,0
n15,n5,4,10
n7,n2,3,5
n6,n14,0,1
n0,n12,7,8
n3,n1,5,8
n4,n18,10,6
n14,n9,1,0
n6,n19,6,6
n18,n19,4,7
n11,n9,4,10
n8,n15,2,4
n18,n17,5,2
n13,n0,5,4
n1,n0,5,10
n13,n8,1,5
n10,n4,4,7
n5,n0,0,5
n9,n12,7,6
n2,n11,8,1
n10,n12,3,8
n6,n16,2,2
n3,n12,7,3
n10,n16,9,4
n7,n17,2,4
n14,n6,0,3
n6,n10,2,9
n7,n16,8,4
n13,n3,6,7
n6,n13,4,9
n13,n15,5,6
n6,n7,5,1
n1,n3,6,1
n14,n3,7,6
n14,n16,8,2
n18,n3,8,7
n3,n11,3,1
n19,n15,9,7
n17,n18,0,8
n9,n11,6,8
n6,n15,4,0
n1,n6,1,8
n4,n9,3,4
n2,n10,8,10
n10,n17,10,0
n17,n11,7,7
n5,n13,2,7
n19,n1,8,5
n17,n4,8,8
n7,n11,4,3
n8,n0,10,1
n6,n11,8,3
n15,n11,8,2
n16,n2,7,2
n4,n10,2,5
n18,n16,2,6
n8,n12,2,2
n19,n4,5,7
n3,n16,4,6
n8,n1,3,0
n14,n2,2,8
