source,target,weight
n43,n38,1
n2,n33,-4
n41,n18,1
n29,n6,-5
n32,n22,-1
n15,n21,-5
n24,n23,8
n26,n2,9
n48,n12,3
n16,n27,4
n1,n44,5
n25,n31,-6
n29,n42,-10
n17,n26,-2
n37,n34,-10
n44,n30,4
n49,n2,0
n6,n33,9
n38,n25,-4
n11,n18,-1
n42,n15,7
n40,n10,-4
n20,n7,-4
n21,n23,7
n41,n22,4
n32,n1,9
n17,n0,-3
n37,n9,0
n21,n9,4
n39,n33,1
n0,n22,-10
n46,n10,7
n3,n42,2
n16,n44,-2
n24,n16,-4
n33,n18,-8
n38,n28,-7
n18,n32,7
n24,n48,8
n13,n6,-6
n18,n14,-10
n12,n36,2
n49,n36,10
n8,n9,-10
n24,n17,-10
n6,n22,-10
n37,n25,-4
n25,n32,0
n23,n8,6
n1,n7,10
n29,n0,-8
n33,n7,8
n13,n23,-7
n32,n21,9
n18,n37,6
n23,n49,3
n33,n46,-7
n36,n39,1
n38,n26,3
n48,n25,3
n35,n21,10
n29,n49,-5
n0,n42,2
n12,n25,9
n23,n16,4
n17,n14,6
n28,n20,1
n44,n18,-10
n34,n47,-9
n42,n27,1
n25,n2,4
n37,n15,-3
n12,n13,3
n11,n29,6
n36,n15,2
n28,n32,8
n29,n46,3
n21,n24,6
n18,n33,5
n41,n13,-4
n20,n37,0
n21,n14,4
n37,n22,6
n19,n12,0
n23,n2,10
n47,n24,9
n34,n29,-7
n9,n22,-10
n43,n21,4
n19,n22,-2
n45,n40,-7
n32,n12,-6
n40,n46,3
n15,n12,-4
n43,n18,0
n20,n35,-10
n13,n39,3
n46,n43,-1
n43,n39,-5
n34,n16,10
n29,n7,-2
n17,n4,-5
n18,n36,-10
n34,n4,-9
n0,n9,2
n41,n39,-3
n22,n45,-1
n44,n34,-8
n44,n35,10
n33,n15,7
n10,n37,-6
n41,n11,1
n36,n27,-8
n0,n37,-2
n25,n33,-3
n35,n45,1
n13,n48,5
n41,n1,-7
n10,n42,3
n45,n9,6
n19,n48,9
n22,n15,-6
n39,n11,5
n49,n33,-2
n26,n0,-3
n9,n40,-7
n21,n49,0
n1,n47,2
n42,n14,-5
n14,n37,-1
n12,n45,6
n24,n2,3
n17,n5,-4
n28,n23,-6
n29,n44,10
n9,n11,2
n45,n44,4
n39,n12,10
n12,n2,8
n44,n0,-6
n7,n30,7
n16,n33,-7
n1,n36,-5
n20,n33,6
n9,n44,-1
n35,n18,4
n8,n13,1
n24,n44,-9
n1,n28,7
n6,n4,7
n20,n48,4
n20,n42,-6
n24,n29,9
n13,n32,-8
n23,n18,-4
n5,n28,4
n37,n1,6
n43,n19,-3
n20,n47,-8
n28,n2,3
n23,n35,-5
n31,n36,1
n18,n49,-7
n45,n38,-1
n31,n23,-6
n37,n13,10
n32,n45,0
n20,n36,-4
n34,n24,-8
n22,n43,10
n37,n0,3
n26,n14,-5
n39,n22,-8
n27,n8,-3
n34,n3,1
n19,n16,-10
n6,n29,10
n29,n33,10
n15,n27,9
n11,n37,10
n34,n28,10
n5,n46,0
n47,n9,3
n9,n27,0
n8,n42,-2
n27,n10,7
n42,n10,2
n11,n43,1
n28,n46,-2
n36,n26,-4
n13,n18,-4
n25,n22,-2
n22,n18,3
n9,n36,4
n0,n44,4
n36,n25,-4
n32,n17,7
n45,n33,5
n40,n13,10
n49,n42,4
n24,n14,-2
n40,n14,-10
n16,n47,-7
n36,n4,6
n45,n6,-1
n37,n24,10
n37,n46,-3
n20,n13,-5
n21,n48,-5
n8,n37,9
n0,n7,-8
n36,n43,-8
n18,n2,0
n32,n10,-4
n14,n34,3
n13,n47,8
n0,n2,-10
n2,n29,-2
n38,n2,0
n13,n36,-4
n12,n9,7
n33,n28,9
n7,n25,10
n13,n31,4
n38,n18,2
n12,n42,-9
n35,n20,-3
n8,n2,10
n5,n6,0
n48,n49,8
n40,n8,9
n6,n36,-2
n44,n4,2
n4,n20,2
n0,n12,9
n4,n13,-6
n16,n6,7
n49,n12,0
n10,n1,5
n13,n19,4
n16,n42,0
n15,n40,6
n20,n19,-8
n42,n24,-9
n19,n47,-2
n25,n45,-8
n4,n39,-9
n26,n18,-2
n18,n7,-7
n45,n23,-5
n33,n3,1
n20,n0,7
n14,n28,-2
n35,n8,-7
n2,n12,-10
n10,n46,9
n41,n46,-2
n38,n39,-5
n14,n27,-6
n4,n32,-10
n12,n34,1
n15,n39,-5
n20,n6,2
n4,n3,7
n47,n29,-9
n45,n8,0
n37,n8,-5
n41,n2,7
n23,n22,9
n22,n6,4
n9,n13,-6
n35,n14,10
n13,n2,8
n37,n10,-4
n19,n4,3
n21,n38,-10
n40,n15,7
n2,n21,-2
n6,n41,-5
n21,n8,-7
n30,n43,4
n24,n12,0
n12,n47,-8
n14,n13,8
n49,n31,-7
n0,n38,9
n14,n40,4
n46,n20,7
n30,n33,-3
n48,n10,10
n46,n32,-3
n22,n34,6
n25,n5,0
n5,n4,-9
n32,n24,-7
n6,n16,-10
n20,n9,4
n25,n40,4
n39,n49,1
n26,n10,-2
n49,n10,1
n5,n27,-8
n34,n21,8
n37,n18,3
n32,n25,3
n35,n22,2
n12,n37,3
n44,n8,-10
n21,n5,2
n36,n17,10
n28,n19,-9
n2,n23,-2
n48,n46,2
n5,n24,7
n41,n5,-9
n44,n36,-9
n40,n19,1
n23,n6,-8
n16,n24,9
n16,n18,-9
n48,n9,-2
n43,n24,4
n47,n37,0
n27,n39,2
n6,n12,9
n6,n25,-3
n39,n35,6
n24,n1,-5
n43,n7,2
n45,n35,3
n17,n18,-1
n31,n33,0
n26,n29,0
n12,n19,-5
n9,n46,0
n16,n43,10
n37,n33,-9
n28,n11,5
n42,n46,7
n49,n5,10
n21,n34,9
n4,n9,-10
n15,n23,1
n46,n28,-6
n16,n30,3
n35,n36,-5
n25,n29,1
n26,n41,3
n3,n39,1
n36,n13,-10
n7,n33,-9
n12,n43,-4
n33,n1,6
n37,n17,6
n37,n31,-5
n33,n26,10
n32,n9,-10
n15,n6,-4
n31,n45,9
n39,n9,8
n5,n29,-7
n41,n49,-6
n38,n30,8
n36,n37,3
n5,n32,6
n10,n16,5
n16,n22,-6
n26,n6,10
n3,n41,-5
n25,n26,1
n36,n7,-5
n14,n19,5
n10,n39,-4
n49,n24,-10
n6,n45,-6
n34,n1,-10
n13,n46,5
n47,n19,2
n7,n15,-10
n35,n6,4
n35,n3,-7
n31,n16,-6
n3,n43,9
n17,n48,8
n43,n13,10
n8,n46,8
n38,n19,-9
n19,n3,3
n32,n20,-3
n3,n46,-4
n16,n13,-1
n49,n6,1
n20,n11,10
n12,n33,7
n2,n45,-8
n49,n46,10
n47,n45,3
n19,n0,-3
n4,n14,5
n14,n49,10
